,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5592799663543702,0.11045189582889767,0.11564006805419921,0.012386110275045839,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.5967741935483869,0.5484447004608295,0.5906874039938558,0.5071223316912972,0.549074074074074,0.5586891448595426,0.03263061540849422,255,0.609030552026081,0.5017428333911448,0.6166856283902687,0.5730095197896313,0.5946028101364494,0.579014268746715,0.04140058684102979
1,0.6304400444030762,0.030836433915358386,0.11584000587463379,0.0077391900780234965,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.6145161290322579,0.6394009216589861,0.6185483870967742,0.5255131362889984,0.6258620689655173,0.6050039545494565,0.04036221566763544,148,0.6630093136130166,0.6387791162507624,0.6186787996665742,0.6313039134410586,0.6227822771451643,0.6349106840233153,0.015672133676836845
2,0.6469199657440186,0.10108482531692883,0.12167997360229492,0.01819253031881441,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.6618279569892471,0.6937596006144394,0.5758064516129032,0.6166256157635467,0.6341954022988506,0.6366610445361139,0.04017688696364061,104,0.6869743038880931,0.68463506033917,0.6369824951375384,0.6481543918128108,0.6197389391582302,0.6552970380671684,0.026514098125246386
3,0.5655200481414795,0.11162075298517009,0.11855988502502442,0.018720006943052675,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.6631720430107526,0.6066628264208909,0.6263440860215054,0.6177545155993431,0.6525862068965518,0.6332642042119586,0.02133246906108033,108,0.693630193150262,0.6495578809573858,0.5950958599611005,0.6768767964083955,0.6407690425230468,0.651185954600038,0.03381950365259963
4,0.44636001586914065,0.13658786428028769,0.10979995727539063,0.0004898624643296147,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.6236559139784946,0.4464285714285714,0.39285714285714307,0.5927750410509032,0.5953384418901662,0.5296859414038225,0.09268030520875993,279,0.6489781941264677,0.44904481435778004,0.38450745827795024,0.711514830058589,0.5762200721952114,0.5540530738031996,0.12171179833091142
5,0.4990800380706787,0.14811686083067754,0.11603999137878418,0.01223537476089839,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.40833333333333327,0.624731182795699,0.6593509984639018,0.49217980295566505,0.6091954022988507,0.5585848215627832,0.0942203000666027,258,0.39978423934510215,0.6502272588148714,0.6496996788397179,0.5600432777150326,0.5933744149399064,0.5706257739309261,0.09209277785668946
6,0.533720064163208,0.08615988887254676,0.11895999908447266,0.007576190716740046,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.6395161290322581,0.7147849462365591,0.6765552995391705,0.5468390804597701,0.653448275862069,0.6466324021811022,0.05575884829688501,97,0.6838998338973079,0.6730515692474822,0.6661732237933963,0.5675193470193117,0.6666464016634243,0.6514580751241845,0.042453922410137235
7,0.47423996925354006,0.12734799027315402,0.1092000961303711,1.9073486328125e-07,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.69644777265745,0.7045698924731183,0.5752496159754223,0.4822660098522168,0.6217752234993614,0.6167700560732748,0.08231884551497753,133,0.6907471790046495,0.6959695892701272,0.5899417756183526,0.5102803567799923,0.5946672101467537,0.616321222163975,0.06970297268008818
8,0.4590400218963623,0.0705480988053101,0.10940003395080566,0.0004000664041494148,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.6067204301075269,0.6387096774193548,0.6916090629800308,0.5222906403940887,0.5832694763729247,0.6089870871338127,0.05627956957233321,143,0.6208882027575351,0.6377483366198666,0.7202319713433913,0.6341385506513573,0.6512035416925667,0.6528421206129434,0.03505075072861678
9,0.5276800155639648,0.1078221264600012,0.12811994552612305,0.018333569307456842,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.696236559139785,0.45814132104454675,0.7252112135176653,0.6780788177339901,0.6954022988505748,0.6500462303585566,0.09793666743495374,94,0.7380318749764807,0.44645878860243954,0.7509990888359881,0.7779606569061375,0.7801752548280407,0.6987251328298173,0.1271442374106981
10,0.6558799743652344,0.16884596058651385,0.10920004844665528,9.5367431640625e-08,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.7369815668202765,0.6881144393241168,0.775,0.7295771756978654,0.5994572158365262,0.706307579951038,0.0595857000442439,58,0.7154591023089848,0.716624260736893,0.7675048624617951,0.7571686254713045,0.6401095549175289,0.7193732811793012,0.04483470391878855
