,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4873199939727783,0.06215350524958938,0.12168002128601074,0.01167395838466983,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.42492003440856935,0.031367566706274816,0.13415994644165039,0.030569760128292506,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.43055996894836424,0.06363578401331597,0.115440034866333,0.012479948997839167,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.17017883585829824,0.0,0.0,0.0,0.0,0.034157323482987,0.06816253222151172,276,0.06094361334867657,0.0,0.10446663163426148,0.0,0.0,0.03308204899658761,0.042790866558036315
3,0.455519962310791,0.07667832417158806,0.10920004844665528,1.784161275279017e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.0,0.0,0.0,0.0,0.06177606177606178,0.012311086596800884,0.024677268749610178,292,0.0,0.0,0.0,0.0,0.01559386913072805,0.00311877382614561,0.00623754765229122
4,0.4898401737213135,0.06286629397716785,0.115440034866333,0.007642352433445989,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.455519962310791,0.04669578256111255,0.11543998718261719,0.012479972840266423,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,0.0,0.0,0.0,0.0,0.01559386913072805,0.00311877382614561,0.00623754765229122
6,0.43991999626159667,0.02292717409516041,0.11231999397277832,0.006239986419677735,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.0,0.0,0.0,0.0,0.12030075187969924,0.02397422126745435,0.048055733880819816,288,0.0,0.0,0.0,0.0,0.10329572446555799,0.020659144893111596,0.04131828978622319
7,0.47111997604370115,0.03331254116116782,0.12791996002197265,0.018192530318814414,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,0.13295842538662367,0.0,0.0,0.0,0.06100919894737638,0.03879352486680001,0.052678985145000225
8,0.6302399635314941,0.13185450328293638,0.11543998718261719,0.012479972840266423,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.0,0.42959838972491127,0.11764705882352941,0.0,0.272108843537415,0.16398335095016223,0.16636154412096082,146,0.0,0.38028492647058787,0.17264437689969567,0.0,0.43489991614102824,0.19756584390226237,0.18352075078924046
9,0.5553601264953614,0.06589039860643116,0.12167987823486329,0.018192718405707325,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.46760563380281694,0.0,0.17017383348581888,0.0,0.0625,0.1403452546247292,0.1753872400222722,157,0.4399645547186528,0.0,0.1317254174397029,0.11818296661241998,0.2223853570205056,0.18245165915825626,0.14690120215634314
10,0.6427198886871338,0.12765338024373427,0.115440034866333,0.012480068207698057,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.46760563380281694,0.0,0.17017383348581888,0.0,0.0625,0.1403452546247292,0.1753872400222722,157,0.4399645547186528,0.0,0.1317254174397029,0.11818296661241998,0.2223853570205056,0.18245165915825626,0.14690120215634314
11,0.5553600311279296,0.15047331688566315,0.11231999397277832,0.006239986421499643,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.46760563380281694,0.0,0.17017383348581888,0.0,0.0625,0.1403452546247292,0.1753872400222722,157,0.4399645547186528,0.0,0.1317254174397029,0.11818296661241998,0.2223853570205056,0.18245165915825626,0.14690120215634314
12,0.6177600860595703,0.11404026539096367,0.12168002128601074,0.0062400102622188576,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",0.46760563380281694,0.0,0.17017383348581888,0.0,0.0625,0.1403452546247292,0.1753872400222722,157,0.4399645547186528,0.0,0.1317254174397029,0.11818296661241998,0.2223853570205056,0.18245165915825626,0.14690120215634314
