k,Statlog Vehicle log-likelihood
2,6.177447177109408
3,6.470807685110693
4,6.536824373922682
5,6.680557363861165
6,6.750589138887878
7,6.830636009350332
8,6.84098726692256
9,6.9396282364545785
10,6.957402890912604
15,7.1116921406520754
20,7.246359796745122
25,7.337056293371205
30,7.462263449874458
35,7.542867400341411
40,7.693646813192939
