,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.10532007217407227,0.029593688428206973,0.0015999317169189454,0.0004899013824479931,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.2224025974025974,0.4035714285714286,0.25,0.25,0.25000000000000006,0.27549328690633035,0.06551075922501462,235,0.2517211703958692,0.3832747337708358,0.25,0.25,0.25,0.276999180833341,0.05314195754930663
1,0.07000007629394531,0.008921915319942955,0.001999950408935547,1.1680077279964343e-07,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.3284090909090909,0.36904761904761907,0.24561403508771926,0.369047619047619,0.2844611528822056,0.3197062361106983,0.04818813704603341,176,0.35920231729055263,0.3588235294117647,0.32125819916517595,0.34570486513030974,0.3069469290399523,0.33838716800755103,0.020911021965654752
2,0.12439990043640137,0.022579662699085287,0.0010000705718994141,0.0006324097208951229,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.27624458874458874,0.3724567099567099,0.30513784461152876,0.3778195488721804,0.44107142857142867,0.3538561489362404,0.05812913045127434,103,0.3220642309497731,0.3894194041252865,0.38639154111975627,0.34021955442521423,0.4130791404218217,0.37023477420837037,0.03372253108759713
3,0.12976012229919434,0.03145540828808417,0.0017999172210693359,0.00039999486081696955,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.29772727272727273,0.38035714285714284,0.28822055137844604,0.3984962406015038,0.38283208020050136,0.3492197913536587,0.04669133766189558,106,0.34813152533740765,0.4056094507901737,0.37317476789194026,0.3829574638657756,0.37541215054894944,0.37705707168684927,0.018463576361283107
4,0.1528400421142578,0.02619133776579944,0.0019999980926513673,1.1680077279964343e-07,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.25795454545454544,0.42126623376623373,0.3239348370927318,0.3809523809523809,0.36810776942355894,0.35007241836475245,0.05620021132564163,105,0.3635472370766488,0.41168785148232345,0.42503613316783917,0.3900266011959022,0.4075350265329745,0.3995665698911376,0.021201527120839857
5,0.13396005630493163,0.016823020182463705,0.00019998550415039061,0.00039997100830078123,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.2125,0.44897186147186136,0.40538847117794485,0.3696741854636591,0.3048558897243108,0.347885510328302,0.0833533303358075,107,0.36049718353935223,0.43305567572045245,0.4048559068431993,0.43735560995956885,0.3605284421460892,0.3992585636417324,0.033548254417863306
6,0.14083995819091796,0.016868128896242045,0.00040001869201660155,0.0004899208473093903,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.44523809523809516,0.35481601731601725,0.4317042606516291,0.40162907268170417,0.4314223057644111,0.41287034698075886,0.03258154542821582,37,0.47537909468278006,0.4160018224157132,0.46867972785596773,0.4668030957883941,0.4064499055436128,0.44666272925729356,0.029230718889301385
7,0.16072006225585939,0.04686776036524732,0.0008000373840332031,0.0007483664507136169,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.4933982683982684,0.445616883116883,0.25,0.37155388471177936,0.5106516290726819,0.41473640458194233,0.09491243234192899,32,0.5107734221837695,0.44794748129262657,0.25,0.43384627640309736,0.48620611035111716,0.42575465804612217,0.09201115569046056
8,0.14967994689941405,0.0467366365577448,0.001199960708618164,0.0007483282192290589,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.4058441558441558,0.42072510822510817,0.4342105263157895,0.4266917293233083,0.5125000000000002,0.43947861666683175,0.03721220826373623,12,0.4654656824394599,0.44794748129262657,0.3870933169698683,0.43015739692432786,0.4950711680020846,0.4451470091256734,0.03607778378995894
9,0.17796006202697753,0.036430060667108057,0.0035199642181396483,0.006089460081782738,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.3716991341991342,0.4694805194805194,0.41165413533834583,0.5181704260651627,0.46904761904761916,0.4475102928049152,0.05111037872044767,5,0.4487903102095164,0.4592676281903779,0.4948119849702925,0.46367810503299106,0.42940199335548174,0.45919000435173196,0.021375471053237186
10,0.2681599140167236,0.03510856883402919,0.0020000457763671873,0.0006323343182333952,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.362012987012987,0.3165584415584415,0.4172932330827067,0.4398496240601503,0.4696115288220552,0.40020836016259353,0.055052292814232504,57,0.39025513819985824,0.3290307141476525,0.5336876602484864,0.5013260872596985,0.5171378211391892,0.45428748419897697,0.08032008810495248
