k,Statlog Vehicle BIC
2,-5000.434809143909
3,-5183.0786500307195
4,-5177.481808628793
5,-5236.234064559604
6,-5233.9617145434695
7,-5239.981863548129
8,-5188.29404507968
9,-5209.710108113938
10,-5164.16886226693
15,-4990.627062359947
20,-4800.838582913723
25,-4574.6419834288545
30,-4377.020210322282
35,-4142.466982617654
40,-3966.019037767453
