,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
253,0.6262000560760498,0.10761120215681065,0.005399942398071289,0.0013564450201974387,0.0001,"(50,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 35}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,0.8317999362945556,0.23209507750027375,0.0056000232696533205,0.0008000969935623676,0.0001,"(50,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 40}",0.0,0.0,0.08695652173913045,0.0,0.23999999999999996,0.06514640638864241,0.09343156618100405,77,0.0,0.0,0.1456390606056072,0.0,0.06450018534536013,0.042027849190193464,0.057514014545850145
255,0.06300005912780762,0.008438007978347328,0.0026000022888183595,0.0007999777842735448,0.0001,"(25,)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,0.09160003662109376,0.015409116360550737,0.002200031280517578,0.00039987566929968805,0.0001,"(25,)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,0.11199994087219238,0.0206203960671576,0.0026000022888183595,0.0004899208705145337,0.0001,"(25,)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 4}",0.0,0.0,0.6214285714285714,0.0,0.0,0.12428571428571428,0.24857142857142855,53,0.0,0.0,0.7107925173862933,0.0,0.0,0.14215850347725867,0.2843170069545173
258,0.1012000560760498,0.02370993267805498,0.0025999069213867186,0.0004899403160383115,0.0001,"(25,)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}",0.0,0.6666666666666669,0.6666666666666673,0.6666666666666673,0.6666666666666673,0.5326530612244903,0.26717551756197,1,0.0,0.6666666666666713,0.666666666666672,0.6666666666666718,0.6666666666666696,0.533333333333337,0.2666666666666685
259,0.11000003814697265,0.017584037655980597,0.002599954605102539,0.000489979265096882,0.0001,"(25,)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 6}",0.0,0.2375967228038234,0.23641304347826086,0.0,0.0,0.09480195325641687,0.11610880940532611,69,0.0,0.348136723744744,0.37742435996896867,0.0,0.0,0.14511221674274255,0.17796659724664424
260,0.16699981689453125,0.04289995413303163,0.0024001598358154297,0.0004898819214545809,0.0001,"(25,)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 7}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0.15599989891052246,0.03035127953458953,0.0028000354766845705,0.0003999710083007813,0.0001,"(25,)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 8}",0.41005498821681075,0.0,0.0,0.36356038445465944,0.0,0.1551414979916581,0.19017608032569483,29,0.33601031398565767,0.0,0.0,0.4915076437099992,0.0,0.16550359153913136,0.2085787625183051
262,0.14600000381469727,0.026252572448155587,0.0031999588012695313,0.00039999486081696955,0.0001,"(25,)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 9}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
