k,Statlog Vehicle sse (left)
2,1.5073122224890259
3,0.9823677828161002
4,0.5623474577297674
5,0.4652262208502853
6,0.3819118261054237
7,0.332687001575509
8,0.3013988208692253
9,0.2689818377480312
10,0.24906007366594157
15,0.16694493350955836
20,0.12847337885427934
25,0.10604284094016675
30,0.08978004024013136
35,0.07746570142415822
40,0.06776231615377148
