k,Bank Marketing Data log-likelihood
2,21.408522017425884
3,23.58235897861615
4,24.957574901245064
5,25.048555835470182
6,25.802250687801877
7,26.119367671985056
8,26.544205936751727
9,27.013774965022122
10,27.19698401449231
15,28.0423426013493
20,29.03510072528756
25,29.984105354286953
30,30.271004703945273
35,30.490101318159265
40,31.166729310736947
