k,Bank Marketing Data sse (left)
2,5.690483800246621
3,5.092569559022815
4,4.577855293107396
5,4.190015819019519
6,3.834214369459275
7,3.431225386097851
8,3.17741377293798
9,2.99013388849303
10,2.841168159405003
15,2.4109312411915513
20,2.106704132729707
25,1.8683914696091297
30,1.7074078660823289
35,1.5429657030225954
40,1.4584895378749763
