k,Bank Marketing Data BIC
2,-41209.95992384329
3,-45091.864976334655
4,-47408.472793245775
5,-47207.980032885454
6,-48306.40655201402
7,-48549.1404495715
8,-49003.00805707261
9,-49544.54796104104
10,-49524.82230656105
15,-49287.64817959299
20,-49339.377145304206
25,-49305.34926093525
30,-47973.59502905778
35,-46508.94743570944
40,-45941.06134395392
