k,Statlog Vehicle log-likelihood
2,-2.3717377059006344
3,-2.37264006070703
4,-2.357151072782516
5,-2.3522676160477722
6,-2.3297122485986494
7,-2.3287497717789445
8,-2.322042008643393
9,-2.3195800627298464
10,-2.318743305867441
15,-2.3118060319227105
20,-2.2658277064162835
25,-2.225538051106287
30,-2.2012886798710776
35,-2.1815802079205073
40,-2.1529027961264253
