k,Bank Marketing Data log-likelihood
2,-1.5315918101386095
3,-1.2205128099811842
4,-1.160237772600257
5,-1.1342967981859007
6,-1.047234433471005
7,-0.9443505018706883
8,-0.9408129553978297
9,-0.936141939216669
10,-0.9233574902172976
15,-0.8154255530734955
20,-0.7879772824440424
25,-0.7676147516133829
30,-0.751149198489062
35,-0.718068510478584
40,-0.7013207747293255
