k,Bank Marketing Data BIC
2,3036.3577107299975
3,2447.305528136438
4,2349.8291125848145
5,2319.6474604476703
6,2169.6678833214683
7,1988.6780350998413
8,2002.4071017280326
9,2013.9145677279514
10,2009.5197054041773
15,1901.2863971772945
20,1950.8010753185356
25,2014.203803465412
30,2085.2446079167125
35,2123.7197479911447
40,2194.2074744975675
