k,Bank Marketing Data sse (left)
2,359.85967532583675
3,187.8020919088027
4,87.58826738591854
5,62.71924661096337
6,37.873169949716655
7,23.193324799226417
8,19.093012209849675
9,15.574131199732907
10,12.098283676336614
15,5.1716585358176115
20,2.8590756096723267
25,1.9862200135078218
30,1.339938884653936
35,0.970017919404907
40,0.6656250316274186
