k,Statlog Vehicle sse (left)
2,845.516487677595
3,443.5355215126735
4,262.61025291708665
5,178.11981612961378
6,128.74125710059488
7,97.30839837280392
8,71.28387940110957
9,56.220998879181806
10,42.652091201653754
15,19.008728122396455
20,10.348462143936718
25,7.031644317397019
30,4.460669392191009
35,3.1318293192068136
40,2.1419628577357663
