k,Statlog Vehicle BIC
2,1993.9281503548518
3,2012.7528980560235
4,2018.0056139760018
5,2032.0397097211098
6,2031.441463394712
7,2048.722130509472
8,2061.245700554711
9,2077.284807259771
10,2094.6695704991753
15,2179.313497280318
20,2231.6314333683763
25,2288.6595883790787
30,2358.969098603705
35,2433.0384734360127
40,2499.6815660778925
