k,Bank Marketing Data log-likelihood
2,-0.22469311800100222
3,0.6350456605903239
4,0.7829630212475132
5,0.8129577351001794
6,1.9087805465066086
7,1.919901390693585
8,1.9575146395870173
9,1.9719340941180508
10,2.0037782601104337
15,2.1592057979022483
20,2.290830353194557
25,2.2765396101188884
30,2.35020359767795
35,2.446893415409413
40,2.541081267244024
