k,Bank Marketing Data sse (left)
2,25.330500652052756
3,7.791596758201006
4,1.5309158589427074
5,1.0754072087289004
6,0.7058869117558786
7,0.4573069062567574
8,0.35965771658562207
9,0.2806903769275082
10,0.2150566002962746
15,0.06048013833799851
20,0.028637242976737726
25,0.01579854230129915
30,0.009289663129226439
35,0.005882578168654368
40,0.0034670239404445413
