k,Statlog Vehicle log-likelihood
2,-1.9282197831086283
3,-1.8094374778357267
4,-1.780392681011197
5,-1.567160011283302
6,-1.5221403809439051
7,-1.461938281076256
8,-1.3953355953712918
9,-1.3628206261757931
10,-1.3336715454655792
15,-1.2909537117821994
20,-1.1964028705175769
25,2.934236075042092
30,2.967874939577673
35,3.160877759305591
40,3.1476520912523758
