k,Bank Marketing Data BIC
2,474.83627414028746
3,-1189.5890741837177
4,-1458.8444433568152
5,-1496.9714247930472
6,-3624.1214774346545
7,-3625.255674326134
8,-3678.314984442268
9,-3685.9144576081
10,-3727.6663652381762
15,-3928.9910507351638
20,-4083.6618905331193
25,-3952.3387455298393
30,-3993.40687257063
35,-4079.6056267493286
40,-4160.900527770197
