k,Statlog Vehicle BIC
2,1662.8505061260228
3,1600.653953203012
4,1612.7600572752533
5,1472.3586025835082
6,1471.2375445054395
7,1457.545401657978
8,1438.5535737372193
9,1447.7863750862984
10,1459.806132101193
15,1605.2117450261142
20,1707.699627673766
25,-1531.6934400348803
30,-1378.770440655582
35,-1357.8007961755386
40,-1166.0739638127168
