k,Statlog Vehicle sse (left)
2,491.7849816309125
3,204.82343179263626
4,159.01597665490826
5,122.30875195062004
6,90.88795787753826
7,67.47659784435355
8,52.2069297345451
9,45.82393009477431
10,41.525930633299794
15,23.63533835593247
20,17.437688980158082
25,13.125921635193903
30,10.301249422506764
35,8.136170374400725
40,6.855391761426993
