k,Bank Marketing Data sse (left)
2,13244.004744014863
3,11786.188711042465
4,10429.14335441805
5,9749.614919019263
6,9134.548704373814
7,8503.524406751607
8,8140.094216014487
9,7678.324736333488
10,7318.718337851704
15,6069.4089418805925
20,5282.920741306097
25,4659.87677975941
30,4299.848790122939
35,3966.800699852811
40,3740.8424255459367
