k,Bank Marketing Data log-likelihood
2,30.453955543424993
3,38.60725471012948
4,42.219301451289276
5,45.40308401390871
6,48.2952471254185
7,48.12814784083405
8,46.60835027771489
9,52.12565326350349
10,50.721576161890255
15,56.223783598461814
20,59.93075008760598
25,59.03323647664608
30,62.08009604908421
35,62.99860730345471
40,64.22336573455235
