k,Statlog Vehicle log-likelihood
2,220.82449449692868
3,222.3044285397008
4,224.3390298013312
5,225.15220438512145
6,226.35059938924445
7,226.6843996547787
8,228.40575397747648
9,228.76680764194677
10,229.2254400286116
15,231.9207799082231
20,237.92343546513553
25,243.56200472555446
30,249.2321412727446
35,252.77060432672647
40,260.58090498735015
