k,Bank Marketing Data BIC
2,-56514.591129575594
3,-70904.03285226187
4,-76392.61982088054
5,-81041.8089995601
6,-85119.42405406476
7,-83200.88481222471
8,-78631.05694445664
9,-87853.94615254777
10,-83510.93038933129
15,-86340.13374473892
20,-85650.66484318885
25,-75936.41494543481
30,-73953.13648714092
35,-67798.29532543446
40,-62243.69863011319
