,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.1353999614715576,0.030249744965684937,0.001399993896484375,0.0004899792418945042,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.329491341991342,0.30146103896103893,0.3521303258145363,0.23809523809523808,0.3688596491228071,0.3178879689892276,0.04565123476309142,225,0.36852447989053233,0.3743582427494546,0.3675432657706486,0.25124025513819986,0.34549371627005004,0.34143199196377705,0.04615406051179999
1,0.15311999320983888,0.026951548190170805,0.00019998550415039061,0.0003999710083007812,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.39810606060606063,0.35822510822510817,0.45551378446115287,0.4147869674185463,0.44730576441102765,0.4143148618692097,0.035234280513334604,60,0.456526871427651,0.4163681463823207,0.4442643667377074,0.3481180853055492,0.45127628869078934,0.4233107517088036,0.040066376677202864
2,0.1543600082397461,0.03196797301225476,0.00039997100830078123,0.0004898624411217046,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.3884740259740259,0.4069805194805194,0.26190476190476186,0.24999999999999994,0.261904761904762,0.3149689179580484,0.06907786870510703,228,0.4064341782715277,0.41739578635397195,0.26306485544408514,0.26607690363685615,0.2565728617028207,0.3219089170818523,0.07363545264397738
3,0.18403992652893067,0.020119342305782512,0.00039997100830078123,0.0004898624411217046,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.4112012987012986,0.4284632034632034,0.3333333333333333,0.3496240601503759,0.4978383458646618,0.4040348593266213,0.05856323811850205,81,0.4839795392417646,0.4378961223043435,0.3076509975501289,0.40433634992458517,0.44220045800073154,0.4152126934043108,0.0594299078470147
4,0.15668001174926757,0.020502093356757175,0.00019998550415039061,0.0003999710083007812,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.28522727272727266,0.4166666666666667,0.2775689223057644,0.43609022556390975,0.26262531328320804,0.33583820937939934,0.07458809376358458,207,0.3316144639674051,0.41372702421603913,0.2614080757418816,0.43766819355713926,0.3252717813422328,0.3539379077649396,0.06398023439489137
5,0.18311996459960939,0.05201080889018056,0.0005999565124511719,0.0004898624411217046,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.3982142857142857,0.3898809523809524,0.17543859649122806,0.35714285714285715,0.45015664160401014,0.35442652525032387,0.0937475668810524,175,0.41650620817878087,0.3746283836645283,0.2311940067964164,0.366168060646247,0.43678537604666196,0.36505640706652687,0.07183888604536255
6,0.17663998603820802,0.018426661843189297,0.0007999897003173828,0.000748353705076902,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.2126623376623377,0.3382034632034632,0.3703007518796992,0.4342105263157895,0.3026002506265665,0.3308355911187719,0.07388710273051512,213,0.2249114103472714,0.3445074415308292,0.3460652881968788,0.4596827803690824,0.3722419737125619,0.34948177883132475,0.07512187478363934
7,0.2340399742126465,0.04632648352849102,0.001199960708618164,0.0007483282192290589,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.27440476190476193,0.4177489177489177,0.43045112781954886,0.3389724310776942,0.3837406015037595,0.3685773777879041,0.057343318297692715,134,0.36872163980597716,0.5411203254576749,0.44973123050974817,0.3824810026172246,0.4035852713178295,0.4291278939416909,0.06236036525558362
8,0.23959999084472655,0.05090597277256454,0.001199960708618164,0.0009798124835481911,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.4658008658008657,0.382034632034632,0.3157894736842105,0.32330827067669166,0.4974310776942358,0.39705776573625545,0.0732981366335844,92,0.5410591947622423,0.49061087742873716,0.44024170976233673,0.38857466063348417,0.41361092737631727,0.45481947399262357,0.054803913764470844
9,0.2555999755859375,0.06613105243676275,0.00039997100830078123,0.0007999420166015625,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.4555194805194805,0.3814393939393939,0.3320802005012531,0.4266917293233083,0.24097744360902262,0.3683539519637918,0.07552345746492234,136,0.42896026428095885,0.5070926946901433,0.3480460302749459,0.4378686481166167,0.3419744015674248,0.41278840778601794,0.06162798852557538
10,0.28155994415283203,0.029646663162373167,0.0010000228881835937,0.0006324850929980568,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.4371753246753246,0.4392316017316017,0.29761904761904756,0.4887218045112782,0.49533208020050146,0.4315391437531026,0.07081424647852826,27,0.5449511184539534,0.48715196922142356,0.2787013042171844,0.4923314113023703,0.42373060136398033,0.4453732809117824,0.09177605780324416
11,0.27160005569458007,0.04127740938160976,0.0005999565124511719,0.0004898624411217046,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.38349567099567095,0.40752164502164495,0.39223057644110276,0.4492481203007518,0.46206140350877206,0.418495596699258,0.031164728171450582,47,0.37422416940489234,0.5067604259666627,0.4110424123094504,0.49327336706607544,0.4251766985864113,0.44209541466669844,0.0503145790816345
12,0.287760066986084,0.019401597243816425,0.0013999462127685547,0.0007999777842735447,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.4527056277056277,0.4035714285714286,0.5313283208020049,0.4830827067669173,0.32120927318295744,0.438598149138767,0.07128127470867536,17,0.4698840434311731,0.3719660920227894,0.49734989627033865,0.4409749911991436,0.3181614953673777,0.4196673036581645,0.06571020986874396
13,0.3433199882507324,0.03500418104548228,0.0009999752044677734,0.0006324850894031313,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.4565476190476191,0.4041125541125541,0.38533834586466165,0.42857142857142855,0.400031328320802,0.41520565522281766,0.025159572278040596,58,0.4821486097177096,0.5135737756219684,0.4484300244226405,0.46731356658877954,0.4044690774341937,0.46318701075705826,0.036279363586235056
14,0.3128800868988037,0.027073125043090764,0.003119945526123047,0.006239891052246094,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.369047619047619,0.34388528138528135,0.29761904761904756,0.3214285714285714,0.3714912280701755,0.34084083451932423,0.02817253159294346,198,0.39759036144578314,0.4583205242666617,0.3680092462874755,0.34684085177920987,0.37208394091089025,0.3885689849380041,0.03842488542516258
15,0.09071993827819824,0.00760486753211837,0.0012000083923339843,0.0004000425445315194,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.35876623376623373,0.349512987012987,0.35588972431077687,0.4605263157894737,0.380639097744361,0.3807538719438033,0.040989909141788634,109,0.3742479083637836,0.40025357349949836,0.3799176079251236,0.36878573961213684,0.3741602275973001,0.37947301139956846,0.010970638805304129
16,0.1080399990081787,0.015520510308617052,0.0008000373840332031,0.000400018706226792,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 3}",0.3350108225108224,0.4114718614718614,0.3214285714285714,0.468671679197995,0.40570175438596506,0.38813917616835236,0.05400331713539448,99,0.39846390911238533,0.37903899785544004,0.30236760997478285,0.4296953572471512,0.3944357796785977,0.3808003307736715,0.042528684592811665
17,0.11179995536804199,0.012778176485285574,0.003719997406005859,0.005952597403357237,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 4}",0.25,0.27689393939393936,0.3458646616541353,0.2706766917293233,0.3737468671679199,0.3027511548964638,0.04759279333201774,241,0.31987054405551923,0.27729803860207825,0.2803128751985739,0.2991890639481001,0.3950064641241111,0.3143353971856765,0.04312115080934821
18,0.12919988632202148,0.01599445751877654,0.001399993896484375,0.0004898819214545809,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.30254329004329006,0.2581168831168831,0.34962406015037595,0.35714285714285715,0.2138157894736842,0.296309091789641,0.05414222506125586,250,0.3048970519204396,0.3765635498449106,0.43978867168135866,0.36067346308310155,0.22298534798534797,0.3409816169030317,0.07299574253380049
19,0.12679991722106934,0.013287591168026403,0.0015999794006347657,0.000489940339242533,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 6}",0.4985930735930735,0.3948051948051948,0.34523809523809523,0.4479949874686716,0.3975563909774437,0.41737011611153485,0.0524492877522666,50,0.46441990268177374,0.3100274282768967,0.3938428131129168,0.41331146959721443,0.40173247295340325,0.39666681732444103,0.04981474606176215
20,0.13759999275207518,0.01927268226716021,0.0014000415802001953,0.0004900376480808073,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 7}",0.2743506493506494,0.4188311688311687,0.4028822055137844,0.40476190476190477,0.2547619047619048,0.3511211466303,0.07111610488177332,180,0.2532271944922547,0.4614959455852439,0.397110255184687,0.38938877682676404,0.29432203113803657,0.3591088406453973,0.07516961484315333
21,0.14875998497009277,0.016365973898137584,0.0013999462127685547,0.0004898235152673564,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 8}",0.32954545454545453,0.38095238095238093,0.30952380952380953,0.3615288220551378,0.4252192982456141,0.36106387097519826,0.04019567118356202,161,0.37202380952380953,0.3496944232238349,0.33383085113261635,0.3801922516964628,0.39028032501014714,0.3652043321173742,0.02061456285227198
22,0.1277599811553955,0.0036119589635659737,0.001600027084350586,0.0004898819214545809,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 9}",0.15102813852813854,0.3724025974025974,0.2976190476190476,0.25,0.31162280701754386,0.2760034280915288,0.0746120883526603,274,0.14891897613371743,0.381237401861073,0.296723566897285,0.20828663491174002,0.3403665133316296,0.275106618627089,0.08529726935954915
