k,GMM,Kmeans
2,0.886734693877551,0.886734693877551
3,0.886734693877551,0.886734693877551
4,0.886734693877551,0.886734693877551
5,0.886734693877551,0.886734693877551
6,0.886734693877551,0.886734693877551
7,0.8959183673469387,0.886734693877551
8,0.8959183673469387,0.886734693877551
9,0.8959183673469387,0.886734693877551
10,0.8877551020408163,0.8969387755102041
15,0.8979591836734694,0.8969387755102041
20,0.8959183673469387,0.8979591836734694
25,0.8969387755102041,0.8959183673469387
30,0.8959183673469387,0.8979591836734694
35,0.8979591836734694,0.9030612244897959
40,0.8989795918367347,0.8979591836734694
