k,Statlog Vehicle BIC
2,-163614.14312098036
3,-155222.24641417048
4,-147289.61416457527
5,-138345.64062572838
6,-129720.62959491703
7,-120379.73412055417
8,-112187.73340552274
9,-102869.40374547895
10,-93631.8692674122
15,-47777.20021660454
20,-4660.988546601991
25,38756.68657689713
30,82148.22398694968
35,127304.78704937873
40,168924.26857350828
