k,Statlog Vehicle sse (left)
2,4282.308074973895
3,3370.425215612966
4,2798.4802707206254
5,2398.299025515753
6,2147.526131341904
7,1948.8255248182136
8,1782.1865387192697
9,1657.1005771429564
10,1580.9149701466663
15,1282.7318136651816
20,1122.5739159008017
25,1013.3274369661095
30,912.8232150146821
35,837.8187679819666
40,788.4813062467763
