,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.17860002517700196,0.02829561273658586,0.0021999359130859377,0.0009798027532929533,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.41724270353302606,0.4465821812596006,0.36023425499231965,0.37795566502463057,0.3935185185185185,0.3993172693838364,0.030360873190413265,303,0.4152087711472894,0.4123107766038883,0.42179102553512127,0.4210826419678173,0.40337289453966313,0.41475322195875586,0.006712334219495487
1,0.300399923324585,0.11867370563300461,0.0053999900817871095,0.0054626127119125865,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.3841397849462365,0.3672043010752688,0.3502304147465439,0.3934113300492611,0.27806513409961686,0.3549381602174636,0.040721943231097166,338,0.47480130556869043,0.4244498353878484,0.30141255453842297,0.43405304620524415,0.35391247912599666,0.39772584416524054,0.061919826841290895
2,0.48580007553100585,0.29898116300286504,0.004600000381469726,0.0016248014361931484,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.40360983102918585,0.44026497695852534,0.5398617511520739,0.4287766830870279,0.5164112388250319,0.46550523812585826,0.05283432437295134,270,0.41993000138255127,0.48414773943961337,0.5407285932779127,0.46318439465004374,0.5588669994187199,0.49337154563376817,0.050837678025833305
3,0.32320008277893064,0.08414605665577231,0.0019999980926513673,0.0008944156816422772,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.5194316436251919,0.6149385560675884,0.5818548387096775,0.3207512315270936,0.5201149425287357,0.5122067182290347,0.1018899899084903,241,0.5933211909619497,0.5500290541621465,0.5875931502494438,0.4045402166183265,0.5586367168818748,0.5388240657747483,0.06913552676748558
4,0.3075999736785889,0.10592171809740514,0.01360006332397461,0.01937628185785685,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.46211597542242694,0.5153225806451612,0.49039938556067614,0.4460591133004926,0.36369731800766275,0.45612830870756343,0.05145601418922401,276,0.4890078221622337,0.5141334273542715,0.4837048078920823,0.4725131826291363,0.45504678030748485,0.48288120406904167,0.01947904642174905
5,0.36519994735717776,0.11919299946657588,0.0018000125885009766,0.0007483791930950463,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.6216589861751151,0.6276113671274962,0.5419162826420892,0.4035098522167488,0.6083652618135377,0.5611174039027904,0.08402391785759701,194,0.7004713500836162,0.6569203650432022,0.6395789370921353,0.48416001151965593,0.6559728349556536,0.6274206997388527,0.07442217373723597
6,0.2907999515533447,0.1365481134955989,0.0022000789642333983,0.0007483409713765852,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.5876152073732718,0.6552611367127495,0.40597158218125984,0.46976600985221684,0.5090038314176246,0.5261196742686594,0.08794271940937855,232,0.6628714463719138,0.6239227844976916,0.5243755147200551,0.37120812587978663,0.5198785331805653,0.5404512809300025,0.10127102503206524
7,0.4981998920440674,0.22012308480102777,0.0026000499725341796,0.0007999420308134472,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.5798195084485406,0.432258064516129,0.6583717357910908,0.5317528735632184,0.6934865900383143,0.5784714121051371,0.09295445630128371,172,0.6779577878715265,0.47383065181885553,0.6522000605773878,0.6811418781718896,0.7336971723915475,0.6437655101662414,0.08899753517121675
8,0.33260011672973633,0.07708326509595423,0.0027999401092529295,0.0011661712798998742,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.6055299539170507,0.5813940092165898,0.6317012288786482,0.5969417077175697,0.6131226053639847,0.6056887226989423,0.01678131244194519,130,0.6137848720542145,0.5776483977909879,0.6578879518584995,0.6213630491478175,0.6498492339758773,0.6241067009654794,0.028552732369815502
9,0.3884000301361084,0.16011064907499495,0.0029999732971191405,9.536743164062499e-08,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.6705837173579107,0.721178955453149,0.4596006144393243,0.6364326765188834,0.6774584929757343,0.6330266928944279,0.0910824624880106,88,0.7313293688265271,0.708892311891251,0.5067964950223912,0.6511767690531478,0.7553967908634864,0.6707183471313607,0.08894226581545786
10,0.334399938583374,0.18972037576451672,0.0023999691009521486,0.0010198141552287454,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.5283602150537634,0.5567588325652842,0.6731566820276498,0.5671182266009852,0.5837164750957855,0.5817295177348014,0.04926429389189329,167,0.5761708852687406,0.5582925834447721,0.789452588181402,0.6769100293866858,0.6826422267227562,0.6566936626008714,0.08351485117710243
