,0,1,2,3,4,5,6,7,8,9
2,0.44980934108231263,0.7442797844414172,0.665433854547163,0.6273871804173495,0.5468957380951225,0.8742643322336405,0.7937843123918846,0.8056971809821483,0.8074484442718695,0.3277404804504207
3,0.8682509950332341,0.8067024769105502,0.7174296947202948,0.8740538561217934,0.7061876083620269,0.7873667861048458,0.8038721011854656,0.8398547561070123,0.4478808361854979,0.30292605458414246
4,0.8441543228978294,0.8533772104053325,0.893205014897437,0.7645919817173343,0.8001015057116723,0.8317937504479223,0.9011957054224549,0.7734769087838137,0.7973329846758207,0.505252527531123
5,0.8800287354562147,0.7619432127926226,0.7917838726600467,0.8570394188258867,0.7774895401797822,0.8825283669790964,0.8541635784916118,0.8516747153866964,0.8688838689579308,0.871449988577195
6,0.8968228524756832,0.7953035479285756,0.8678138116124764,0.8719525270196653,0.9018967456525192,0.8271384790222375,0.7237986815189663,0.8005746533522211,0.7807115075438689,0.8974313595556163
7,0.8928796052440746,0.924223786805214,0.8908431690158395,0.8842824282628303,0.8518087518119363,0.8091450420309244,0.8443140524906476,0.7561782036945515,0.654890886441102,0.8282570440507108
8,0.9505999148539641,0.9114982393681019,0.867270442834903,0.835550941384079,0.7411120662504063,0.8918035676620247,0.8714269957603191,0.8710684663795197,0.8445354584495872,0.8816257352314522
9,0.9053585930037417,0.9403606731715544,0.9011821617671009,0.8937925102373635,0.9196148283076143,0.9339266774676329,0.7644427739129247,0.8157206504358079,0.8253141887072193,0.913507094944922
10,0.8929767926757184,0.8793510596440244,0.9676218492508291,0.9091381847942722,0.8753157194451747,0.889753169180846,0.9254228564504422,0.8683023503141313,0.9041569603001579,0.935583250073954
15,0.9643115604966298,0.9401126539414805,0.9375007296892389,0.9340593709152136,0.9655627513880416,0.9403662567563204,0.9328973983477269,0.9312124943888158,0.9327524694427829,0.9061215308368783
20,0.9755444642485401,0.92917727478115,0.9686223156905746,0.9474251483290715,0.9603439771557697,0.9634841231385064,0.9511909624071305,0.9671729437741602,0.9284855869551101,0.9608601989528228
25,0.9661885059814157,0.9845733982826181,0.9541152625494487,0.9633875984811404,0.9561298089849702,0.9492503302796281,0.9743678929247913,0.9676561297579885,0.9739932054249266,0.9690672319350914
30,0.9502050537465286,0.9679417176023545,0.9702701967178591,0.9448013820802201,0.966326303531802,0.9623133529763941,0.9504498679622773,0.9704421899180558,0.9722596453501382,0.9626947242009237
35,0.9801578762628986,0.9677324070842093,0.9849159103823388,0.9644449016791263,0.9469206084891317,0.9722747679421468,0.9773031113554,0.9677006732776751,0.9514090421304741,0.9594197060279526
40,0.983948625180444,0.9818202009989045,0.972199954719215,0.9809766476646327,0.9528381505096198,0.9817041017205749,0.9710719257151949,0.9874123708254817,0.9808912029364567,0.9913238355202268
45,0.9747988663091276,0.9906226960368497,0.9617461359984787,0.9862519582680225,0.9783548855966405,0.9671728772116914,0.9698852139596652,0.9810114787086899,0.9794337494619816,0.9727031106772708
50,0.9775219917562908,0.9866224524787469,0.9873311337483359,0.9817918459284583,0.9839613399463143,0.98128681127118,0.9870853795284118,0.9874390074941055,0.9587219747683107,0.9809698079731727
55,0.9888484680293056,0.977897752747849,0.9613947296122036,0.9701861372942758,0.9851942715851856,0.9855956439650396,0.9665709686367923,0.9842203529346562,0.9808907041205722,0.9801641659342294
60,0.9655875586902053,0.9795913390595161,0.9890053412339762,0.9855362749138725,0.9756928181142425,0.9892455980546964,0.9726250997110261,0.9908485225651161,0.9869901342953398,0.9782262778010847
