,0,1,2,3,4,5,6,7,8,9
2,0.9256224916149871,0.8208328580256705,0.8763836007292874,0.9461340693458286,0.9361556980912485,0.8673047781439003,0.8895306877172793,0.9077826284348915,0.8194531658381465,0.9167351612964483
3,0.7943723970537031,0.8351829991677954,0.8403832183660269,0.895085296165069,0.89460257889944,0.8419863482597787,0.8834313786299043,0.8434124453527969,0.8818888606846327,0.9046134909502653
4,0.8121769641485338,0.7296617948812991,0.7586898416133906,0.8572639495534933,0.7654101814866561,0.7409831195675248,0.6807597075489368,0.8826546929272208,0.7730622843637959,0.8724459290234332
5,0.6945072873794268,0.7616361614400894,0.7434787771894789,0.7764959118629992,0.7769996011497161,0.6856362604662317,0.706244869353643,0.7601386698004293,0.7214690454140673,0.686001406192485
6,0.6265937372444552,0.7106063945548045,0.6757167221796777,0.7018643310352686,0.6338447259396749,0.662493594820676,0.8065109958572323,0.7399456283792895,0.7175083623998917,0.6358330983785193
7,0.7325275422681653,0.6135846722954393,0.5062769982790813,0.5373675899727902,0.5324325879568129,0.7202912385303699,0.6865693241050205,0.5912481479692725,0.7391330739782804,0.6802953996206835
8,0.42848943408694695,0.5424979805216299,0.5381117681010916,0.6309445542810352,0.6598545578992745,0.40867046580282324,0.659782873527347,0.5474725060726864,0.5403248477072558,0.5567256674562417
9,0.4500073266394047,0.4626930366061214,0.5451542083399004,0.5771111448437037,0.4785571571887346,0.5190645495246436,0.6552252684373898,0.6002240343682478,0.4084296353847354,0.4640901989758581
10,0.380542257338425,0.552372565280713,0.44849525861271816,0.4670947934180953,0.4704164431844236,0.3493439450661094,0.4673313953979557,0.50168882097119,0.34192442164617975,0.36319637400717164
15,0.12862431728928914,0.16136454884245333,0.16113073734353814,0.2426655848165979,0.12379379284073896,0.1521236968932577,0.10396014400846171,0.18881306816736793,0.1911408808002003,0.11014681410230166
20,1.048810288901406e-29,4.946582475603239e-30,1.0980842765296231e-29,6.949345327745328e-30,5.12952511839252e-30,6.485886500922069e-30,3.13453552858059e-29,4.101777986198027e-30,6.0187311770107016e-30,2.5319189639954246e-30
25,4.252669307389771e-30,1.9958219083360783e-30,2.7198373844925713e-30,1.5761977800483382e-30,3.034646640341304e-30,1.4019440354198367e-29,2.948332612826553e-30,1.5483930133206594e-30,8.910553045377468e-30,1.0193970383221709e-29
30,2.2723002406429894e-30,3.366803263882492e-30,2.2158391171613298e-30,4.532099390686613e-30,3.0841578888603067e-30,1.3335524513567658e-29,2.2538308449484134e-30,2.029224334884564e-30,5.403351661393532e-30,1.1013093937787981e-30
35,3.237705344042116e-30,5.8537208793616104e-30,1.2656110344613776e-30,2.209287622507468e-30,1.9709124089600675e-30,1.8142772831047178e-30,1.4560285432868635e-30,2.3686678929659446e-30,1.9899080408562554e-30,2.858075282940392e-30
40,1.8916700404586567e-30,2.6335629638271447e-30,1.7924784873165874e-30,1.8079419599943753e-30,2.6304979913452797e-30,3.776763491788457e-30,1.117110665626539e-29,4.970863199453829e-30,2.500535486977348e-30,2.9254474448064667e-30
45,1.0902632158317336e-30,1.3710977205940635e-30,1.0698930545345148e-30,1.8911124564230593e-30,2.0389525671991984e-30,2.4706973193587938e-30,2.0714702572328757e-30,4.961627588346553e-30,2.008287360807485e-30,1.4563264540894677e-29
50,2.619567923086857e-30,1.0015326750923859e-30,5.719051404729017e-30,1.2805522187516582e-30,2.019636817839512e-30,5.104085029018609e-30,3.9573554170495606e-30,1.6392164423259386e-30,1.4938605714003727e-30,1.822164627955042e-30
55,1.4229190487919668e-30,1.4746434875524606e-29,4.6145016362545514e-30,4.6678609602525974e-30,2.2057176658945876e-30,1.875515786115754e-30,1.509341762346512e-30,1.2401456699243402e-30,1.9689192707484746e-30,2.9021820383508134e-30
60,2.083531718472882e-30,8.852683814134614e-31,1.6151504260053104e-30,2.5363420930562473e-30,1.7939088081140452e-30,1.3272647024525265e-30,9.194583585647109e-30,2.8169255630309547e-30,2.8440712098226082e-30,1.1238586034150612e-30
