,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4415999412536621,0.20946476872391906,0.0033999919891357423,0.0007999420166015623,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,0.01553079178885629,0.0,0.0,0.0,0.0,0.003106158357771258,0.006212316715542515
1,0.3905998706817627,0.05778786857320917,0.003200054168701172,0.0007483919474121718,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.24459996223449706,0.015343919138208857,0.0026000022888183595,0.0004899208473093903,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,0.015669751698345426,0.03115733985974487,0.0,0.0,0.0,0.00936541831161806,0.012472094007547343
3,0.3280000686645508,0.10520630959286698,0.0023999691009521486,0.0004899403160383116,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.0,0.0,0.0,0.22456140350877193,0.0,0.04475187969924812,0.08970403657753033,247,0.03106522759267946,0.0,0.0,0.20826931135633428,0.0,0.04786690778980275,0.08109864377588479
4,0.35160012245178224,0.06716130024474208,0.00279998779296875,0.0011661385685673262,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.38899993896484375,0.14048624859789843,0.0026000022888183595,0.0007999777842735448,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.16956077630234934,0.2647527910685806,0.0,0.0,0.11940298507462686,0.110968246619323,0.10181778888543211,176,0.17280083529104653,0.28399828399828375,0.0,0.0,0.3560080841157354,0.16256144068101314,0.14500055169934836
6,0.5125998497009278,0.21437693962481913,0.00260009765625,0.0004899013824479931,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.0,0.426979136896256,0.0,0.36721311475409835,0.273972602739726,0.21347996617758924,0.18124602489064223,111,0.0,0.38831387538080153,0.0,0.3030527976245704,0.46487030974565524,0.2312473965502054,0.19563040499273987
7,0.45060005187988283,0.17833066435081044,0.006799888610839844,0.005912701916553499,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.0,0.2656566734236637,0.17142857142857143,0.22695035460992904,0.0,0.13283476726301408,0.11252591361132752,162,0.0,0.27255136069825814,0.1327102803738315,0.2223853570205056,0.0,0.12552939961851903,0.11186005445160616
8,0.3320000648498535,0.07178022965084205,0.0035999298095703127,0.0013564239278187583,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3937999248504639,0.09481643483438511,0.0030001163482666015,1.9073486328125e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.4349344978165938,0.42828475871954136,0.21678321678321677,0.36721311475409835,0.12075471698113208,0.3138620977429171,0.12431245902085851,39,0.3818202791556116,0.4002418379685607,0.09021601016518406,0.27069716775599084,0.3684752110749639,0.30229010122406225,0.1151291398757332
10,0.4326000213623047,0.1344122752289445,0.0035999774932861327,0.0004899597886342959,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.0,0.3115745568300313,0.17142857142857143,0.36601307189542487,0.2758620689655172,0.22473972483531546,0.1292970732631254,106,0.0,0.23713099728186413,0.15969737245680368,0.41804743791941057,0.47396528704939844,0.2577682189414954,0.17257974437282447
11,0.40359997749328613,0.1613278233276912,0.003000020980834961,0.0006324096921322909,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",0.16894718986769194,0.0,0.0,0.0,0.12075471698113208,0.05797480456468378,0.07262138409842674,228,0.2957757920389924,0.0,0.0,0.0,0.3793868995744296,0.13503253832268441,0.1674806297430574
12,0.562999963760376,0.23294971864599817,0.0027999401092529295,0.0007483791930950463,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",0.0,0.0,0.17142857142857143,0.0,0.0,0.03428571428571429,0.06857142857142857,263,0.0,0.0,0.29502313721786705,0.0,0.0,0.05900462744357341,0.11800925488714682
