,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.13103995323181153,0.0031199932098388674,0.2887628051438535,0.29386404249082043,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",219,0.24999999999999997,0.2521186440677966,0.22580645161290322,0.2585271046365037,0.3941244239631338,0.41592321690960216,0.25,0.25,0.325,0.2927512468401995,0.06878166287902562,0.006239986419677735,0.06239960635944513,0.06295254095587877
1,0.09047999382019042,0.0,0.3138152517436792,0.3255679695212973,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",148,0.3225806451612903,0.3534920742446822,0.2983870967741936,0.2995867768595041,0.33988095238095256,0.3596403780830011,0.25000000000000006,0.25,0.35833333333333334,0.365120618419299,0.02683921859463607,0.0,0.03733068070861817,0.044476144334570554
2,0.10296001434326171,0.0031199932098388674,0.2938656587224441,0.3152622567182849,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",209,0.24999999999999997,0.24999999999999997,0.33870967741935487,0.3622137921690827,0.2034946236559141,0.3201371001454359,0.3524220032840723,0.34190841794859017,0.32650063856960404,0.30205197332831574,0.030569565460213874,0.006239986419677735,0.05766875325721892,0.03839766249954496
3,0.1372800350189209,0.0,0.3127705284042186,0.3163417700448252,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",150,0.3378456221198156,0.3370993944764436,0.25,0.24999999999999997,0.3250000000000002,0.3307863295359823,0.3103448275862069,0.2983193277310925,0.3416666666666667,0.36550379848060777,0.0634825806284827,0.0,0.03348084579526461,0.03945242246172137
4,0.14663991928100586,0.0,0.40041367692577373,0.40150075789380885,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",99,0.5002880184331796,0.48644285119694947,0.3064516129032258,0.3347615499254843,0.35533794162826443,0.3560317055037812,0.3583333333333334,0.3873783819805411,0.48298212005108554,0.4428893008622882,0.07552722580462563,0.0,0.07684939589564256,0.055944917214515756
5,0.12791996002197265,0.0031199932098388674,0.3026943021650683,0.3042866383706011,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",159,0.295142089093702,0.29831253020775356,0.25,0.24999999999999997,0.35952380952380963,0.3840828533451485,0.35892857142857143,0.33903780830010344,0.24999999999999997,0.25,0.044562499874581836,0.006239986419677735,0.048914791979313664,0.051970853206841965
6,0.13415994644165039,0.0,0.41191336214452184,0.399329680595232,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",97,0.4645737327188939,0.42637506087580596,0.505568356374808,0.47591141433180884,0.3926459293394779,0.35806555374490917,0.3248152709359607,0.32812854871678404,0.3681673052362708,0.40816782530685203,0.04478039328324721,0.0,0.06549014582961299,0.05185876335597681
7,0.20903997421264647,0.0031199932098388674,0.35261692423990815,0.3555354988747047,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",124,0.37903225806451607,0.39539191327251133,0.44070660522273425,0.4289297035640716,0.42500000000000016,0.3995901639344263,0.25000000000000006,0.25,0.26340996168582376,0.3037657136025142,0.02534698574574674,0.006239986419677735,0.08004999355201688,0.06742982834624472
8,0.2527200222015381,0.0,0.47051301012994556,0.4740922381278603,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",82,0.5380184331797234,0.5437832833510926,0.5985599078341013,0.561159758657801,0.6067588325652843,0.6460309295124524,0.35000000000000003,0.3694872191179551,0.24999999999999997,0.25,0.06033787842171643,0.0,0.14274810946950225,0.14363846956982002
9,0.2558399200439453,0.0031200408935546874,0.3899958096852215,0.4154729109843977,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",105,0.2791666666666666,0.3085776454420522,0.6148617511520736,0.6163328404102355,0.38154761904761925,0.3870247366010079,0.42327586206896556,0.46028227364516383,0.2471264367816092,0.30514705882352944,0.02534694465893438,0.006240081787109375,0.13027754392785715,0.11555109718834752
10,0.27455997467041016,0.0,0.6290048382294975,0.6406053919620465,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",29,0.5830837173579109,0.5880343414538519,0.5677227342549923,0.5302245984948251,0.7309523809523811,0.6771960554608515,0.6852011494252873,0.7607972709167526,0.578639846743295,0.646774693483951,0.0989585730658004,0.0,0.06632550100210774,0.0784482754701494
