,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3026401519775391,0.0823113921534885,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.45622119815668194,0.538479262672811,0.40576036866359466,0.35205254515599343,0.47685185185185186,0.44620692866313,0.06333308036764825,290,0.46072961255524586,0.48266627041665555,0.48794710242334594,0.515784540903905,0.43717749244839876,0.4768610037495102,0.026482625627154394
1,0.39312005043029785,0.1347031205835222,0.0031199932098388674,0.006239986419677735,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.4523809523809523,0.4638440860215054,0.4772081413210448,0.3928366174055829,0.44894636015325673,0.4472541139184632,0.028762584587507793,289,0.4742074994607263,0.46832776702816353,0.5292939855665614,0.49892368361157313,0.4570866156338585,0.48556791026017654,0.025798495922426314
2,0.3307200908660889,0.0642448192029862,0.0031199932098388674,0.006239986419677735,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.46883640552995387,0.5120199692780338,0.43822964669738884,0.43737684729064036,0.527713920817369,0.4767567548678505,0.03712728516929494,267,0.5010243690653652,0.5337988572757069,0.5173302644127875,0.5110614850130809,0.5234739437558309,0.5173377839045543,0.011082769349618615
3,0.21840004920959472,0.0531316398315576,0.0,0.0,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.512442396313364,0.5427035330261136,0.507603686635945,0.44685960591133006,0.4374840357598978,0.489954513969913,0.04044310965738601,252,0.5136426040465041,0.5417298956855399,0.5566414219164986,0.49114726128626457,0.47034054025448646,0.5147003446378587,0.03166483661283864
4,0.3463200569152832,0.0845285245538782,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.635522273425499,0.6964477726574501,0.5444508448540709,0.584954844006568,0.5545019157088124,0.6036959375651673,0.05655369548910799,147,0.7158542041590363,0.702764558583094,0.6389540763325149,0.6555435778599454,0.6350063616010179,0.6696245557071216,0.03338506190491728
5,0.3244800567626953,0.07004381402585598,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.6867127496159753,0.6241935483870968,0.6340245775729648,0.6752052545155993,0.5314176245210729,0.6307451684363531,0.054494611980136526,128,0.6977301958830918,0.595344912630017,0.6958555179241482,0.7135681990357766,0.59283693735391,0.6590671525653887,0.05341450005394307
6,0.3088798999786377,0.12139958078500836,0.0031200408935546874,0.006240081787109375,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.6768625192012289,0.6397849462365591,0.6682795698924733,0.5021551724137931,0.6456896551724137,0.626984999733366,0.06347019261866278,130,0.7569995488451374,0.655417825714499,0.7082576115988176,0.5349768223530484,0.717530774804924,0.6746365166632854,0.07697811737498934
7,0.3431999683380127,0.07114693806154704,0.0031200408935546874,0.006240081787109375,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.6637096774193546,0.6153225806451612,0.6999423963133641,0.6361247947454844,0.65970625798212,0.6549485524327362,0.02855260897895562,94,0.7137905994122368,0.6265523136592119,0.7204190853815751,0.7245295840328416,0.7339427324308371,0.7038468629833405,0.039195663312198925
8,0.2558399200439453,0.06514755352383331,0.006240034103393554,0.007642449765811762,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.6481182795698924,0.6053763440860215,0.6009600614439324,0.5933497536945812,0.6602809706257983,0.6215339796037098,0.027063475471180265,140,0.6692484204356188,0.564654685720512,0.6508937042071247,0.7156133988224682,0.7321588696454191,0.6665138157662286,0.058901257162449934
9,0.36503992080688474,0.09074854156874845,0.0,0.0,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.7125768049155146,0.7462365591397849,0.7077380952380955,0.5743431855500821,0.6599936143039592,0.6808037989672098,0.0595243389418453,71,0.7462607447956914,0.7405806398045404,0.787438139723497,0.6546780333971339,0.7283047740287637,0.7314524663499253,0.043223201654686544
10,0.3681600093841553,0.056333047063824956,0.0,0.0,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.6950460829493087,0.7379032258064516,0.6095622119815668,0.7381978653530378,0.6867177522349937,0.6934463340913215,0.047119627569956704,69,0.7231139898989554,0.7530386261631051,0.7243409705899289,0.7864068620413142,0.7706245232999237,0.7515049943986454,0.025019920474390337
